id,name,country id,created_at,updated_at
534,Lower Saxony,39,null,null
535,Norte de Santander,22,null,null
536,Kilimanjaro,50,null,null
537,Kumamoto,1,null,null
538,Guerrero,3,null,null
539,KandahAr,43,null,null
540,Uttarakhand,4,null,null
541,Jeonbuk,15,null,null
542,Samarqand,61,null,null
543,Bulawayo,78,null,null
544,Buenos Aires,8,null,null
545,Enugu,16,null,null
546,Sergipe,5,null,null
547,CortAcs,113,null,null
548,Perak,57,null,null
549,Hambuk,42,null,null
550,Tochigi,1,null,null
551,An Najaf,32,null,null
552,PointeNoire,91,null,null
553,Al IsmAaEAlAyah,10,null,null
554,Aêang Nai,28,null,null
555,Irbid,108,null,null
556,Andijon,61,null,null
557,Krasnodarskiy Kray,12,null,null
558,Aragon,27,null,null
559,Liguria,41,null,null
560,DiyarbakAr,13,null,null
561,MichoacAn de Ocampo,3,null,null
562,Ulayanovskaya Oblasta,12,null,null
563,Utrecht,88,null,null
564,Kwilu,21,null,null
565,Yogyakarta,17,null,null
566,DolnoA?lA?skie,52,null,null
567,Manitoba,29,null,null
568,Udmurtiya,12,null,null
569,Wielkopolskie,52,null,null
570,BAr SaaEAd,10,null,null
571,SouthendonSea,18,null,null
572,Saxony,39,null,null
573,South Carolina,2,null,null
574,Sulawesi Tengah,17,null,null
575,Samsun,13,null,null
576,Al UqAYur,10,null,null
577,Kalimantan Barat,17,null,null
578,Yaroslavskaya Oblasta,12,null,null
579,Constantine,40,null,null
580,Kalimantan Selatan,17,null,null
581,KirkAk,32,null,null
582,AnzoAtegui,49,null,null
583,SAhAj,10,null,null
584,Ad DaqahlAyah,10,null,null
585,Altayskiy Kray,12,null,null
586,SAstAn va BalAchestAn,20,null,null
587,NangarhAr,43,null,null
588,Lambayeque,19,null,null
589,Sonora,3,null,null
590,BAbil,32,null,null
591,GAlAn,20,null,null
592,Nagano,1,null,null
593,Ngha An,28,null,null
594,Ogun,16,null,null
595,Kayseri,13,null,null
596,Kalimantan Timur,17,null,null
597,Primorskiy Kray,12,null,null
598,Irkutskaya Oblasta,12,null,null
599,Blantyre,135,null,null
600,Khabarovskiy Kray,12,null,null
601,Veracruz,3,null,null
602,Tshopo,21,null,null
603,KermAn,20,null,null
604,AEzIarbAyjAne GharbA,20,null,null
605,Quetzaltenango,111,null,null
606,Sarawak,57,null,null
607,Niigata,1,null,null
608,Risaralda,22,null,null
609,VallAce du Bandama,37,null,null
610,Santiago de Cuba,62,null,null
611,Kagoshima,1,null,null
612,Dagestan,12,null,null
613,Akwa Ibom,16,null,null
614,"Bristol, City of",18,null,null
615,Ishikawa,1,null,null
616,Orenburgskaya Oblasta,12,null,null
617,TabAk,35,null,null
618,Quintana Roo,3,null,null
619,Kemerovskaya Oblasta,12,null,null
620,Al LAdhiqAyah,53,null,null
621,VAstra GAtaland,95,null,null
622,Shiga,1,null,null
623,Tomskaya Oblasta,12,null,null
624,Ehime,1,null,null
625,Normandie,14,null,null
626,Oaxaca,3,null,null
627,Sofala,85,null,null
628,LibanNord,73,null,null
629,HamadAn,20,null,null
630,Sabah,57,null,null
631,Ryazanskaya Oblasta,12,null,null
632,Tyumenskaya Oblasta,12,null,null
633,Lipetskaya Oblasta,12,null,null
634,EskiAYehir,13,null,null
635,Aceh,17,null,null
636,Salta,8,null,null
637,Penzenskaya Oblasta,12,null,null
638,Blida,40,null,null
639,Mykolayivsaka Oblasta,54,null,null
640,KarbalAa,32,null,null
641,As Suways,10,null,null
642,Kelantan,57,null,null
643,"Edinburgh, City of",18,null,null
644,Tlaxcala,3,null,null
645,MarkazA,20,null,null
646,Pingtung,24,null,null
647,Annaba,40,null,null
648,Brighton and Hove,18,null,null
649,Astrakhanskaya Oblasta,12,null,null
650,Bradford,18,null,null
651,Puglia,41,null,null
652,Al Buacayrah,10,null,null
653,Al MinyA,10,null,null
654,Keelung,24,null,null
655,Central,72,null,null
656,Chiayi,24,null,null
657,ThANguyAn,28,null,null
658,Anambra,16,null,null
659,Mie,1,null,null
660,Nusa Tenggara Barat,17,null,null
661,Qashqadaryo,61,null,null
662,RAf Dimashq,53,null,null
663,Mwanza,50,null,null
664,Red Sea,33,null,null
665,Tulaskaya Oblasta,12,null,null
666,BanA Suwayf,10,null,null
667,EmiliaRomagna,41,null,null
668,Kansas,2,null,null
669,Osun,16,null,null
670,Iowa,2,null,null
671,Chiapas,3,null,null
672,HerAt,43,null,null
673,Homyelaskaya Voblastsa,74,null,null
674,MoravskoslezskA Kraj ,99,null,null
675,Yazd,20,null,null
676,OromAya,47,null,null
677,Kocaeli,13,null,null
678,Iligan,11,null,null
679,QazvAn,20,null,null
680,Cross River,16,null,null
681,Malatya,13,null,null
682,HormozgAn,20,null,null
683,aamAh,53,null,null
684,Loreto,19,null,null
685,Balkh,43,null,null
686,Leicester,18,null,null
687,Kirovskaya Oblasta,12,null,null
688,Durango,3,null,null
689,Jambi,17,null,null
690,Sfax,58,null,null
691,Sunderland,18,null,null
692,Luhansaka Oblasta,54,null,null
693,Sulawesi Utara,17,null,null
694,Qaraghandy,97,null,null
695,DhA QAr,32,null,null
696,Belfast,18,null,null
697,AZanlAurfa,13,null,null
698,Chlef,40,null,null
699,ACEita,1,null,null
700,Baguio,11,null,null
701,San Juan,8,null,null
702,Chuvashiya,12,null,null
703,Ekiti,16,null,null
704,NorthWest,71,null,null
705,Tokushima,1,null,null
706,Arkansas,2,null,null
707,Portsmouth,18,null,null
708,Wakayama,1,null,null
709,Grand Est,14,null,null
710,Mon State,36,null,null
711,TAchira,49,null,null
712,Pays de la Loire,14,null,null
713,Sughd,106,null,null
714,Nord,71,null,null
715,SudKivu,21,null,null
716,Nagasaki,1,null,null
717,Gyeongbuk,15,null,null
718,Kaliningradskaya Oblasta,12,null,null
719,Saint Catherine,114,null,null
720,San Luis,8,null,null
721,Katsina,16,null,null
722,Magdalena,22,null,null
723,Tabasco,3,null,null
724,Bryanskaya Oblasta,12,null,null
725,Bournemouth,18,null,null
726,Bengkulu,17,null,null
727,Batangas,11,null,null
728,Tolima,22,null,null
729,Ivanovskaya Oblasta,12,null,null
730,Erzurum,13,null,null
731,AsyAAe,10,null,null
732,Lualaba,21,null,null
733,Redcar and Cleveland,18,null,null
734,ArdabAl,20,null,null
735,Gifu,1,null,null
736,JunAn,19,null,null
737,KhAnh HAa,28,null,null
738,Monagas,49,null,null
739,Kurskaya Oblasta,12,null,null
740,Oriental,45,null,null
741,Jeju,15,null,null
742,Zachodniopomorskie,52,null,null
743,Murcia,27,null,null
744,Al GharbAyah,10,null,null
745,Copperbelt,92,null,null
746,Zanzibar UrbanWest,50,null,null
747,Pasay,11,null,null
748,Mbale,87,null,null
749,Kassala,33,null,null
750,PayAèngnam,42,null,null
751,Tverskaya Oblasta,12,null,null
752,KhantyMansiyskiy Avtonomnyy OkrugYugra,12,null,null
753,Al QaAYAm,35,null,null
754,Khmelanytsaka Oblasta,54,null,null
755,NoordBrabant,88,null,null
756,Chiang Mai,25,null,null
757,Piura,19,null,null
758,Kisumu,48,null,null
759,North Kordofan,33,null,null
760,South Darfur,33,null,null
761,Osh,122,null,null
762,StokeonTrent,18,null,null
763,Samut Prakan,25,null,null
764,Nampula,85,null,null
765,JihomoravskA Kraj,99,null,null
766,Coventry,18,null,null
767,Alajuela,93,null,null
768,Iloilo,11,null,null
769,Chaco,8,null,null
770,MiAYrAtah,60,null,null
771,aAail,35,null,null
772,Idaho,2,null,null
773,BejaAa,40,null,null
774,Southampton,18,null,null
775,NariAo,22,null,null
776,Galicia,27,null,null
777,Canary Islands,27,null,null
778,KahramanmaraAY,13,null,null
779,Caldas,22,null,null
780,Balearic Islands,27,null,null
781,MeghAlaya,4,null,null
782,LorestAn,20,null,null
783,Meta,22,null,null
784,Kauno Miestas,140,null,null
785,Negeri Sembilan,57,null,null
786,Denizli,13,null,null
787,Van,13,null,null
788,Reading,18,null,null
789,NajrAn,35,null,null
790,Mahilyowskaya Voblastsa,74,null,null
791,KujawskoPomorskie,52,null,null
792,Pahang,57,null,null
793,Gorontalo,17,null,null
794,Nakuru,48,null,null
795,North Ossetia,12,null,null
796,Canterbury,90,null,null
797,Stavropolaskiy Kray,12,null,null
798,Cusco,19,null,null
799,Northern,65,null,null
800,Buryatiya,12,null,null
801,HautsBassins,100,null,null
802,Lubelskie,52,null,null
803,Nova Scotia,29,null,null
804,Kedah,57,null,null
805,Al QAdisAyah,32,null,null
806,Zhambyl,97,null,null
807,ZanjAn,20,null,null
808,Fukushima,1,null,null
809,ItapAa,72,null,null
810,Misiones,8,null,null
811,CAˇ Mau,28,null,null
812,Arkhangelaskaya Oblasta,12,null,null
813,Maluku,17,null,null
814,Santiago del Estero,8,null,null
815,Ibaraki,1,null,null
816,Uasin Gishu,48,null,null
817,Huila,22,null,null
818,Vinnytsaka Oblasta,54,null,null
819,Hualien,24,null,null
820,Terengganu,57,null,null
821,An Giang,28,null,null
822,PhA ThaEç,28,null,null
823,Aêak Lak,28,null,null
824,Ancash,19,null,null
825,KordestAn,20,null,null
826,OberAsterreich,59,null,null
827,CamagAey,62,null,null
828,Veneto,41,null,null
829,MAcrida,49,null,null
830,Belgorodskaya Oblasta,12,null,null
831,White Nile,33,null,null
832,MaysAn,32,null,null
833,Gunma,1,null,null
834,Kurganskaya Oblasta,12,null,null
835,Vitsyebskaya Voblastsa,74,null,null
836,Jeonnam,15,null,null
837,Puerto Rico,204,null,null
838,Arusha,50,null,null
839,Corrientes,8,null,null
840,Plovdiv,98,null,null
841,Kaluzhskaya Oblasta,12,null,null
842,Mississippi,2,null,null
843,Hwangnam,42,null,null
844,Saitama,1,null,null
845,BAnh Thua?n,28,null,null
846,Asturias,27,null,null
847,KAchi,1,null,null
848,Nakhon Ratchasima,25,null,null
849,Orlovskaya Oblasta,12,null,null
850,Kagawa,1,null,null
851,NordKivu,21,null,null
852,Toyama,1,null,null
853,Al Gazira,33,null,null
854,Mymensingh,7,null,null
855,KangwAèn,42,null,null
856,Pavlodar,97,null,null
857,Sousse,58,null,null
858,IaAYi,70,null,null
859,KhorAsAne JonAbA,20,null,null
860,MariyEl,12,null,null
861,Miyazaki,1,null,null
862,CastilleLeon,27,null,null
863,WAsiAe,32,null,null
864,Smolenskaya Oblasta,12,null,null
865,Alto ParanA,72,null,null
866,Moskovskaya Oblasta,12,null,null
867,Khersonsaka Oblasta,54,null,null
868,Albay,11,null,null
869,Akita,1,null,null
870,ExtrAmeNord,71,null,null
871,Hidalgo,3,null,null
872,Buxoro,61,null,null
873,Murmanskaya Oblasta,12,null,null
874,HolguAn,62,null,null
875,Shyghys Qazaqstan,97,null,null
876,Nayarit,3,null,null
877,Vladimirskaya Oblasta,12,null,null
878,Songkhla,25,null,null
879,Poltavsaka Oblasta,54,null,null
880,Sucre,49,null,null
881,Hrodzyenskaya Voblastsa,74,null,null
882,Al FayyAm,10,null,null
883,Cluj,70,null,null
884,Bauchi,16,null,null
885,Vargas,49,null,null
886,QuindAo,22,null,null
887,TimiAY,70,null,null
888,Abruzzo,41,null,null
889,Angeles,11,null,null
890,AswAn,10,null,null
891,Varna,98,null,null
892,RhinelandPalatinate,39,null,null
893,Vologodskaya Oblasta,12,null,null
894,Khatlon,106,null,null
895,GalaAei,70,null,null
896,BraAYov,70,null,null
897,Ucayali,19,null,null
898,Antofagasta,26,null,null
899,Dayr az Zawr,53,null,null
900,Zabaykalaskiy Kray,12,null,null
901,Cesar,22,null,null
902,KabardinoBalkariya,12,null,null
903,Chernihivsaka Oblasta,54,null,null
904,RondAnia,5,null,null
905,Jujuy,8,null,null
906,Hatay,13,null,null
907,Olongapo,11,null,null
908,Dolj,70,null,null
909,Miranda,49,null,null
910,ConstanAea,70,null,null
911,Mordoviya,12,null,null
912,GEncE,64,null,null
913,"Kingston upon Hull, City of",18,null,null
914,Batman,13,null,null
915,QinA,10,null,null
916,Jinja,87,null,null
917,Tambovskaya Oblasta,12,null,null
